coral_id,circumf_1,circumf_2,coral_surfarea,temp_avg,treatment,snails_exp,tissue_loss,snails_bleaching,bleaching,mort_postbleach
29,25,25,99.45,30.29,Average,4.8,6.30,2,75,0
35,33,32,168.1,30.25,Average,4.9,2.26,6,100,25
45,30,32,152.95,30.2,Average,4.9,6.90,2,75,10
58,25,23,91.65,30.25,Average,4.4,9.81,2,75,0
59,32,35,178.6,30.29,Average,4.6,6.75,0,90,10
65,28,30,133.85,30.26,Average,5.4,1.85,7,25,0
66,23,22,80.55,30.25,Average,5,5.63,6,100,100
68,30,31,148.05,30.2,Average,4.8,5.85,4,0,0
69,31,20,103.5,30.23,Average,5,1.79,5,100,5
7,30,30,143.25,30.16,High,6.6,4.82,2,25,0
18,42,42,280.75,30.27,High,9,8.03,2,100,10
20,32,31,157.9,30.29,High,8.6,21.32,2,90,10
27,27,22,95.55,30.29,High,10.4,17.12,0,90,0
36,37,38,223.8,30.24,High,9.8,8.05,3,100,25
37,28,24,107.6,30.23,High,8.44,3.21,5,100,100
44,30,24,116,30.25,High,7.9,,9,100,100
50,45,41,294.3,30.25,High,9.2,14.20,7,100,50
67,45,42,301.15,30.25,High,9.71,7.74,4,100,25
6,39,39,242.05,30.2,Removal,0.2,1.93,0,33,5
15,32,24,124.8,30.2,Removal,0,0.00,0,33,0
26,,,,30.3,Removal,0.2,0.00,0,100,25
28,34,26,143.25,30.2,Removal,0.2,0.00,0,100,25
33,54,50,430.35,30.3,Removal,0.4,0.00,0,0,0
56,26,20,84.2,30.26,Removal,0.1,0.00,0,50,0
61,18,17,48.75,30.26,Removal,0.3,0.00,0,75,0
74,22,24,84.2,30.16,Removal,0.6,0.00,0,0,0
76,34,34,184,30.23,Removal,0.2,1.02,3,100,0
79,35,31,173.3,30.3,Removal,0,0.00,0,75,10
