site,coral_species,total_snails,total_colonies,colonies_w_snails,Prop w snails,sn_per_coral_sn,sn_per_coral_all
Pickles,Diploria strigosa,27,5,5,1.00,5.40,5.40
Pickles,Colpophyllia natans,22,3,2,0.67,11.00,7.33
Pickles,Acropora cervicornis,35,21,13,0.62,2.69,1.67
Pickles,Orbicella faveolata,9,8,3,0.38,3.00,1.13
Pickles,Diploria labrynthiformis,9,3,1,0.33,9.00,3.00
Pickles,Dichocoenia stokesii,20,23,6,0.26,3.33,0.87
Pickles,Agaricia sp.,48,112,27,0.24,1.78,0.43
Pickles,Montastrea cavernosa,15,18,4,0.22,3.75,0.83
Pickles,Meandrina meandrites,12,23,1,0.04,12.00,0.52
Pickles,Eusmilia fastigiata,0,10,0,0.00,,0.00
Pickles,Madracis decactis,0,10,0,0.00,,0.00
Pickles,Porites asteroides,0,73,0,0.00,,0.00
Pickles,Porites porites,0,84,0,0.00,,0.00
Pickles,Siderastrea siderea,0,261,0,0.00,,0.00
Pickles,Solenastrea bournoni,0,4,0,0.00,,0.00
Pickles,Stephanocoenia intersepta,0,60,0,0.00,,0.00
American,Diploria clivosa,5,7,4,0.57,1.25,0.71
American,Meandrina jacksoni,1,2,1,0.50,1.00,0.50
American,Diploria strigosa,17,25,10,0.40,1.70,0.68
American,Diploria labrynthiformes,11,14,3,0.21,3.67,0.79
American,Acropora cervicornis,5,15,3,0.20,1.67,0.33
American,Agaricia spp.,2,20,2,0.10,1.00,0.10
American,Dichocoenia stokesii,9,158,6,0.04,1.50,0.06
American,Colpophyllia natans,0,2,0,0.00,,0.00
American,Meandrina meandrites,0,7,0,0.00,,0.00
American,Montastrea cavernosa,0,43,0,0.00,,0.00
American,Orbicella faveolata,0,1,0,0.00,,0.00
American,Porites asteroides,0,165,0,0.00,,0.00
American,Porites porites,0,110,0,0.00,,0.00
American,Siderastrea radians,0,17,0,0.00,,0.00
American,Siderastrea siderea,0,296,0,0.00,,0.00
American,Solenastrea bournoni,0,4,0,0.00,,0.00
American,Stephanoceonia intersepta,0,57,0,0.00,,0.00
Horseshoe,Agaricia spp.,4,73,3,0.04,1.33,0.05
Horseshoe,Colpophyllia natans,3,2,1,0.50,3.00,1.50
Horseshoe,Dichocoenia stokesii,6,40,3,0.08,2.00,0.15
Horseshoe,Diploria clivosa,0,2,0,0.00,,0.00
Horseshoe,Diploria labrynthiformes,15,10,6,0.60,2.50,1.50
Horseshoe,Diploria strigosa,4,3,1,0.33,4.00,1.33
Horseshoe,Eusmilia fastigiata,0,2,0,0.00,,0.00
Horseshoe,Favia fragum,0,1,0,0.00,,0.00
Horseshoe,Meandrina jacksoni,0,3,0,0.00,,0.00
Horseshoe,Meandrina meandrites,2,6,1,0.17,2.00,0.33
Horseshoe,Montastrea cavernosa,3,7,1,0.14,3.00,0.43
Horseshoe,Oculina diffusa,0,2,0,0.00,,0.00
Horseshoe,Orbicella faveolata,23,15,5,0.33,4.60,1.53
Horseshoe,Porites porites,0,217,0,0.00,,0.00
Horseshoe,Porites spp.,0,304,0,0.00,,0.00
Horseshoe,Siderastrea radians,0,38,0,0.00,,0.00
Horseshoe,Siderastrea siderea,0,303,0,0.00,,0.00
Horseshoe,Solenastrea bournoni,0,3,0,0.00,,0.00
Horseshoe,Stephanocoenia intersepta,0,125,0,0.00,,0.00
Molasses,Acropora cervicornis,8,8,3,0.38,2.67,1.00
Molasses,Acropora palmata,17,10,3,0.30,5.67,1.70
Molasses,Agaricia spp.,12,157,5,0.03,2.40,0.08
Molasses,Colpophyllia natans,26,3,1,0.33,26.00,8.67
Molasses,Dichocoenia stokesii,0,3,0,0.00,,0.00
Molasses,Diploria labrynthiformes,0,5,0,0.00,,0.00
Molasses,Meandrina meandrites,2,6,2,0.33,1.00,0.33
Molasses,Montastrea cavernosa,6,20,2,0.10,3.00,0.30
Molasses,Orbicella faveolata,2,7,1,0.14,2.00,0.29
Molasses,Porites asteroides,2,509,1,0.00,2.00,0.00
Molasses,Porites porites,0,19,0,0.00,,0.00
Molasses,Siderastrea siderea,1,84,1,0.01,1.00,0.01
Molasses,Stephanocoenia intersepta,0,6,0,0.00,,0.00
Conch,Acropora cervicornis,20,145,11,0.08,1.82,0.14
Conch,Acropora palmata,2,9,1,0.11,2.00,0.22
Conch,Agaricia spp.,2,103,2,0.02,1.00,0.02
Conch,Dichocoenia stokesii,1,33,1,0.03,1.00,0.03
Conch,Diploria clivosa,11,2,2,1.00,5.50,5.50
Conch,Diploria labrynthiformes,2,2,1,0.50,2.00,1.00
Conch,Diploria strigosa,10,2,2,1.00,5.00,5.00
Conch,Eusmilia fastigiata,0,1,0,0.00,,0.00
Conch,Madracis dacactis,0,11,0,0.00,,0.00
Conch,Meandrina meandrites,0,9,0,0.00,,0.00
Conch,Montastrea cavernosa,0,3,0,0.00,,0.00
Conch,Orbicella faveolata,0,1,0,0.00,,0.00
Conch,Porites asteroides,0,3,0,0.00,,0.00
Conch,Porites porites,0,17,0,0.00,,0.00
Conch,Siderastrea radians,0,23,0,0.00,,0.00
Conch,Siderastrea siderea,9,248,1,0.00,9.00,0.04
Conch,Stephanocoenia intersepta,0,16,0,0.00,,0.00
Coffins Patch,Acropora cervicornis,0,7,0,0.00,,0.00
Coffins Patch,Agaricia spp.,5,109,4,0.04,1.25,0.05
Coffins Patch,Colpophyllia natans,24,20,4,0.20,6.00,1.20
Coffins Patch,Dichocoenia stokesii,4,58,2,0.03,2.00,0.07
Coffins Patch,Diploria clivosa,11,1,1,1.00,11.00,11.00
Coffins Patch,Diploria labrynthiformes,0,3,0,0.00,,0.00
Coffins Patch,Diploria strigosa,55,27,11,0.41,5.00,2.04
Coffins Patch,Eusmilia fastigiata,0,11,0,0.00,,0.00
Coffins Patch,Favia fragum,0,3,0,0.00,,0.00
Coffins Patch,Meandrina jacksoni,0,2,0,0.00,,0.00
Coffins Patch,Meandrina meandrines,0,17,0,0.00,,0.00
Coffins Patch,Montastrea cavernosa,0,78,0,0.00,,0.00
Coffins Patch,Mycetophilia spp.,0,4,0,0.00,,0.00
Coffins Patch,Orbicella annularis,0,4,0,0.00,,0.00
Coffins Patch,Orbicella faveolata,3,26,1,0.04,3.00,0.12
Coffins Patch,Porites spp.,1,1231,1,0.00,1.00,0.00
Coffins Patch,Siderastrea radians,0,52,0,0.00,,0.00
Coffins Patch,Siderastrea siderea,4,804,3,0.00,1.33,0.00
Coffins Patch,Solenastrea bournoni,0,2,0,0.00,,0.00
Coffins Patch,Stephanocoenia intersepta,0,190,0,0.00,,0.00
