Date,Temperature (F)
6/1/14,27.51
6/2/14,27.5
6/3/14,27.18
6/4/14,27.28
6/5/14,27.5
6/6/14,27.57
6/7/14,27.55
6/8/14,27.67
6/9/14,27.81
6/10/14,28.22
6/11/14,28.05
6/12/14,27.84
6/13/14,27.84
6/14/14,28.13
6/15/14,28.22
6/16/14,28.21
6/17/14,28.19
6/18/14,28.07
6/19/14,28.28
6/20/14,28.34
6/21/14,28.35
6/22/14,28.5
6/23/14,28.59
6/24/14,28.62
6/25/14,28.62
6/26/14,29.07
6/27/14,29.16
6/28/14,29.35
6/29/14,29.56
6/30/14,29.33
7/1/14,29.03
7/2/14,29.05
7/3/14,29.23
7/4/14,29.2
7/5/14,29.55
7/6/14,29.55
7/7/14,29.53
7/8/14,29.44
7/9/14,29.52
7/10/14,29.45
7/11/14,29.68
7/12/14,29.83
7/13/14,29.83
7/14/14,29.79
7/15/14,29.69
7/16/14,29.75
7/17/14,29.76
7/18/14,29.87
7/19/14,29.95
7/20/14,30.15
7/21/14,30.14
7/22/14,30.02
7/23/14,30.16
7/24/14,30.13
7/25/14,30.04
7/26/14,30.23
7/27/14,30.29
7/28/14,30.48
7/29/14,30.42
7/30/14,30.32
7/31/14,30.49
8/1/14,30.66
8/2/14,30.75
8/3/14,30.58
8/4/14,30.18
8/5/14,30.26
8/6/14,30.6
8/7/14,31.07
8/8/14,30.92
8/9/14,30.78
8/10/14,30.64
8/11/14,30.64
8/12/14,30.63
8/13/14,30.66
8/14/14,31
8/15/14,31.28
8/16/14,31.33
8/17/14,31.06
8/18/14,30.93
8/19/14,30.91
8/20/14,31.14
8/21/14,31.05
8/22/14,30.98
8/23/14,30.81
8/24/14,30.88
8/25/14,31.02
8/26/14,30.8
8/27/14,30.76
8/28/14,30.89
8/29/14,30.89
8/30/14,30.73
8/31/14,30.59
9/1/14,30.58
9/2/14,30.53
9/3/14,30.44
9/4/14,30.52
9/5/14,30.71
9/6/14,30.42
9/7/14,30.09
9/8/14,30.08
9/9/14,30.07
9/10/14,29.89
9/11/14,30.01
9/12/14,29.86
9/13/14,29.77
9/14/14,29.66
9/15/14,29.7
9/16/14,29.75
9/17/14,29.83
9/18/14,29.65
9/19/14,29.57
9/20/14,29.74
9/21/14,29.82
9/22/14,29.91
9/23/14,29.48
9/24/14,29.13
9/25/14,29.08
9/26/14,29.3
9/27/14,29.43
9/28/14,29.5
9/29/14,29.47
9/30/14,29.7
10/1/14,29.72
10/2/14,29.9
10/3/14,29.85
10/4/14,29.82
10/5/14,29.45
10/6/14,29.28
10/7/14,29.29
10/8/14,29.38
10/9/14,29.32
10/10/14,29.29
10/11/14,28.95
10/12/14,28.42
10/13/14,28.48
10/14/14,28.52
10/15/14,28.58
10/16/14,28.52
10/17/14,28.41
10/18/14,28.71
10/19/14,28.99
10/20/14,28.77
10/21/14,28.48
10/22/14,28.27
10/23/14,28.3
10/24/14,28.02
10/25/14,27.34
10/26/14,27.1
